UNI_ST_UNIDADE,PRO_ST_DEFITEM,PRO_IN_CODIGO,PRO_ST_DESCRICAO,GRU_IDE_ST_CODIGO
M2,MP,6353,CERÂMICA PARA PISO 45X45 BEJE ACETINADO,15
UN,MP,6492,JOELHO 90 DRYFIX ESGOTO 50MM,15
UN,MP,7283,ANEL DE VEDACAO 50MM ESGOTO SERIE NORMAL,01
PC,PA,7622,P2 08A_TCT_SLB,15
UN,MP,7869,ADAPTADOR PARA DUTO 250MM METÁLICO BRANCO,15
UN,MP,8206,JANELA DE CORRER 2FLH 120X120 AL BRANCO VD LISO 4MM,15
PC,MP,8216,"ARRUELA INOX 1/4""",15
UN,OU,8230,IMPRESSORA BROTHER HL -1212W,08
UN,FE,8242,MORSA/TORNO DE BANCADA Nº4 AÇO FORJADO,07
UN,FE,8261,"ESQUADRO PROFISSIONAL 12""",07
UN,OU,8284,PARAFUSADEIRA ELÉTRICA 220V TD0100 230–701W ENCAIXE 1/4” CIMENTÍCIA,07
M,MP,8285,"CABO FLEXÍVEL 6,00MM 750V PRETO",15
UN,MP,8298,PARAFUSO CHIPBOARD CABEÇA CHATA PHILIPS 5X50MM BICROMATIZADO,01
PC,OU,8301,CHAPA METÁLICA U - DOBRA,15
PC,MT,8340,PINO ADAPTADOR 3 SAÍDAS 2P+T,15
UN,FE,8345,FITA LARGA TRANSPARENTE 45MMX45M,07
UN,FE,6709,"ESPATULA PARA DRYWALL 8"" AMERICANA",07
UN,FE,6689,"PINCEL (TRINCHA) 1 1/2""",07
UN,OU,6779,ESCADA DE ALUMINIO,15
SE,SE,6915,MO INSTALAÇÃO DE PVC (FORRO),15
PC,MT,6916,VALVULA RET VERTICAL 1,15
PC,OU,6971,REFLETOR LED 30W 6000KBIV,15
M,MP,7018,TUBO DRENO FLEX PRETO,15
PC,MP,7254,"VÁLVULA DE RETENÇÃO HORIZONTAL 1""",15
UN,OU,7312,Notebook Ideapad 330s Ryzen 7,15
UN,MT,7673,FITA DUPLA FACE 20MMX10M,07
UN,MP,7819,DISJUNTOR 16A 3KA 1P CURVA C STECK,01
UN,OU,8199,ALICATE DECAPADOR 206-124,07
UN,MP,8346,PORTA DE CORRER 2FLH 140X212CM AL BRANCO VD LISO 3MM,15
UN,FE,8353,CABO DE FORÇA T 3/4 GEDORE,15
UN,OU,8359,ROTEADOR NW301R 300MBPS,07
UN,MP,8362,CAIXA ELÉTRICA PARA LAGE AB,15
M2,MP,6967,LA DE ROCHA 50MM 32KG/M3,01
PC,MP,7311,PARAFUSO TBS 8X60MM,01
PC,OU,7344,TABLET 9.6 SAMSUNG ANDROID 8GB,15
PC,OU,7495,PORTA CNPJ TN,07
PC,MP,7527,PRODISC 13 INOX 304L,01
UN,MP,7712,PINUS APARELHADO 38X90X2650MM,15
UN,MP,7784,PINUS APARELHADO 45X90X3500MM,15
PC,MP,7845,"KIT CONEXÃO MÓVEL 20MM X 3/4""",15
UN,EQ,7911,UNIDADE EVAPORADORA,08
UN,OU,7992,MODULO INTERRUPTOR SIMPLES - 1 TECLA,01
UN,OU,8114,PEN DRIVE 35GB,15
UN,MP,8221,"ELETRODUTO DE PVC RÍGIDO 1"" /3M",01
PC,MP,8365,CANOPLA DE ACABAMENTO,15
UN,MP,8372,ESPUDE P/ VASO SANITÁRIO BRANCO,15
PC,MP,8381,BLOCO DE CONCRETO CHAPÉU KIT CHURRASQUEIRA,15
UN,MP,8389,RECARGA DE EXTINTOR DE PÓ QUÍMICO ABC 4KG,07
UN,OU,8395,PROTEÇÃO DE COURO PARA CINTA DE ELEVAÇÃO 50CM,15
UN,MP,6571,"GESSO ACARTONADO RF 12,5X1200X1800MM",01
M3,MT,6710,AREIA LAVADA TIPO GROSSA,01
UN,MP,6951,"CONTRAMARCO BRANCO 2,9M TCV-0001",15
UN,MT,7085,PORCA,15
UN,MP,7349,PINUS BRUTO TRATADO 45X200X3000MM,15
